205174241.txt,"Niger - R.176.i"
205174242.txt,"Thirteenth disciple - Vts.137.d"
205174243.txt,"Three go back - Vts.152.f.22"
205174244.txt,"Calends of Cairo - Vts.153.c.16"
205174245.txt,"Lost trumpet - Vts.143.j.8"
205174246.txt,"Image and superscription - Vts.118.l.16"
205174247.txt,"Spartacus - Vts.6.k.19 "
205174248.txt,"Persian dawns, Egyptian nights - Vts.148.d.8"
205174249.txt,"Scots quair - Cloud howe - NF.523.b.30"
205174250.txt,"Scots quair - Grey granite - NF.523.b.31"
205174251.txt,"Scots quair - Sunset song - NF.523.b.29"
205174252.txt,"Hanno, or, The future of exploration - S.114.j.21"
205174253.txt,"Nine against the unknown - S.72.d.10"
205174254.txt,"Conquest of the Maya - S.60.c"
205174255.txt,"Gay hunter - Vts.215.j.26"
205202834.txt,"Stained radiance - T.204.f"
