74457530.txt,"Distribution and causation of leprosy in British India 1875 - IP/HA.2"
74457800.txt,"Report of an outbreak of cholera in Suhutwar, Bulliah sub-division - IP/30/PI.2"
74458285.txt,"Report of an investigation into the causes of the diseases known in Assam as Kála-Azár and Beri-Beri - IP/3/MB.5"
74458388.txt,"Account of plague administration in the Bombay Presidency from September 1896 till May 1897 - IP/13/PC.4"
74458575.txt,"Inquiry into the circumstances attending an outbreak of cholera in H. M.'s 18th Hussars at Secunderabad in the month of May 1871 - IP/QB.2"
74461102.txt,"Cholera in India, 1862 to 1881 - IP/6/SB.4"
74461103.txt,"Cholera in southern India - IP/25/PI.5"
74462535.txt,"Hookworm disease and how to prevent it - IP/QB.9"
74462588.txt,"Report by Surgeon-Major Lyons, I.M.S., President of the Plague Research Committee - Part I - IP/13/PC.2"
77504163.txt,"Report by Surgeon-Captain Childe, I.M.S. - Part II - IP/13/PC.2"
77504164.txt,"Summary of work carried on by Mr Hankin - Part III - IP/13/PC.2"
74463059.txt,"Leprosy and its control in the Bombay Presidency - IP/13/SB.2"
74463060.txt,"Leprosy in India: report of the Leprosy Commission in India, 1890-91 - IP/DF.3"
74463272.txt,"Malaria in the Duars - IP/QB.6"
74463273.txt,"Malarial fevers - IP/QB.7"
74463388.txt,"Memorandum on the precautions to be taken against cholera - IP/19/PI.2"
74463389.txt,"Memorandum on the prevention of leprosy by segregation of the affected - IP/13/SB.2"
74463660.txt,"Observations on the prevention of leprosy by segregation - IP/13/SB.2"
74463913.txt,"Outbreak of cholera in the village of Akhoree, in the Mirzapore district - IP/30/PI.2"
74464753.txt,"Preliminary report of a malaria survey of Calcutta and environs - IP/6/SB.2"
74464863.txt,"Report of an investigation in regard to the prevalence of stegomyia and other mosquitoes in Karachi, and the measures necessary for their control - IP/13/SB.2"
74464864.txt,"Report of an investigation into the causes of malaria in Bombay and the measures necessary for its control - IP/13/SB.2"
74464866.txt,"Report of cholera committee - IP/25/PI.2"
74464867.txt,"Report of the Bombay Plague Committee - IP/13/PC.5"
77505435.txt,"Report of the Municipal Commissioner on the plague in Bombay for the year ending 31st May... - Volume 1 - IP/14/PC.3"
77505436.txt,"Report of the Municipal Commissioner on the plague in Bombay for the year ending 31st May... - Volume 2 - IP/14/PC.3"
77505437.txt,"Report of the Municipal Commissioner on the plague in Bombay for the year ending 31st May... - Volume 3 - IP/14/PC.3"
74464870.txt,"Report on certain features of malaria in the island of Salsette - IP/13/SB.7"
74464871.txt,"Report on enteric fever - IP/13/SB.6"
74464872.txt,"Report on inoculation in the plague infected areas of the Punjab and its dependencies from October 1900 to September 1901 - IP/32/PC.3"
74464874.txt,"Report on leprosy in the North-Western Provinces - IP/30/PI.2"
